stop_ids,stop_lat,stop_lon,stop_name
"['7351', '7390', '7404']",37.739916,-122.38889566666667,Third Street/Hudson/Innes
['5605'],37.73404,-122.42592,Mission St & Murray St
['5689'],37.790013,-122.400491,Market St & Sansome St
['7187'],37.734388,-122.379358,MIDDLE POINT RD & HARE ST
"['4301', '4821']",37.788024,-122.4035585,Geary Blvd & Kearny St
"['3394', '3395', '6616', '6617', '7579']",37.743119,-122.4756408,19th Ave & Taraval St
"['5211', '5212', '7120', '7121']",37.760708,-122.49925575,Judah St & 40th Ave
['7318'],37.769134,-122.433076,Sunset Tunnel East Portal
"['4113', '4114']",37.802642500000005,-122.4135885,Columbus Ave & Lombard St
"['3873', '3874']",37.790783000000005,-122.419025,California St & Larkin St
['6834'],37.79641,-122.4237,Van Ness Ave & Vallejo St
"['5718', '5719', '6724', '6725']",37.77868575,-122.447126,Masonic Ave & Turk St
"['6003', '6004', '6779', '6780']",37.798828,-122.42241550000001,Polk St & Union St
"['3312', '3313', '4351', '7537']",37.7648065,-122.4015885,17th St & De Haro St
"['5686', '5687']",37.7642235,-122.43306749999999,Market St & Noe St
['5124'],37.764366,-122.458024,Irving St & Arguello Blvd
"['4867', '5814']",37.785519,-122.4144875,Leavenworth St & O'Farrell St
['6358'],37.72408,-122.4022,San Bruno Ave & Dwight St
"['5272', '5273']",37.79898,-122.442798,Lombard St & Divisadero St
['7440'],37.752871,-122.38688,Muni Metro East/Not a public stop
"['3070', '3071', '5946', '5947', '7696']",37.776803,-122.47213419999999,Balboa St & Park Presidio Blvd
['7301'],37.78585,-122.41198,O'Farrell St&Taylor St
"['4640', '4641', '6591', '6592']",37.786027250000004,-122.43312275,Fillmore St & Sutter St
['4530'],37.808351,-122.410287,The Embarcadero & Stockton St
"['4004', '7072']",37.742725500000006,-122.426637,Church St & Day St
['5781'],37.722951,-122.446749,Ocean Ave/Balboa Park Bart Station
"['5806', '5807', '7105']",37.729958,-122.46934733333335,Ocean Ave & San Leandro Way
"['3867', '3868', '5065']",37.79101,-122.41752233333334,California St & Hyde St
"['6075', '6076', '6604']",37.789153,-122.40860400000001,Powell St & Sutter St
"['4956', '4957', '4958', '5711', '5712', '5713']",37.77024133333333,-122.44537099999998,Haight St & Masonic Ave
"['4960', '4961']",37.77169,-122.4337455,Haight St & Pierce St
"['5076', '5150', '5151']",37.79459566666666,-122.41815866666667,Hyde St & Jackson St
